inventory_id,product_id,warehouse,record_date,quantity_on_hand,min_stock_level,max_stock_level,reorder_point,unit_cost,total_value,last_count_date,storage_location,status
286,100,Склад готової продукції,2023-06-25,20,22,66,33.0,4430.21,88604.2,2023-05-30,Ряд 13-Стелаж 23-Позиція 3,Надлишок
287,31,Склад матеріалів,2023-01-29,95,32,96,48.0,1386.6,131727.0,2023-01-14,Ряд 5-Стелаж 8-Позиція 3,Критичний запас
288,85,Склад матеріалів,2024-09-08,37,49,147,73.5,2867.12,106083.44,2024-09-05,Ряд 9-Стелаж 24-Позиція 7,Надлишок
289,17,Склад матеріалів,2024-03-31,59,25,75,37.5,961.26,56714.34,2024-03-20,Ряд 9-Стелаж 26-Позиція 4,Надлишок
290,15,Склад матеріалів,2024-10-16,13,19,57,28.5,3577.33,46505.29,2024-09-22,Ряд 16-Стелаж 34-Позиція 6,Низький запас
291,84,Головний склад,2024-06-29,16,18,54,27.0,1588.25,25412.0,2024-06-07,Ряд 14-Стелаж 29-Позиція 1,Критичний запас
292,73,Склад готової продукції,2024-12-29,56,41,123,61.5,3048.44,170712.64,2024-12-19,Ряд 18-Стелаж 15-Позиція 4,Низький запас
293,24,Головний склад,2023-09-20,78,27,81,40.5,4503.49,351272.22,2023-09-13,Ряд 15-Стелаж 17-Позиція 9,Надлишок
294,49,Склад матеріалів,2024-08-25,63,38,114,57.0,3084.02,194293.26,2024-08-09,Ряд 10-Стелаж 29-Позиція 4,Низький запас
295,75,Склад готової продукції,2024-09-24,1,30,90,45.0,1633.98,1633.98,2024-09-15,Ряд 7-Стелаж 3-Позиція 8,Низький запас
296,31,Головний склад,2023-11-30,118,47,141,70.5,1386.6,163618.8,2023-11-12,Ряд 6-Стелаж 28-Позиція 9,Низький запас
297,81,Головний склад,2024-07-30,29,28,84,42.0,2918.14,84626.06,2024-07-16,Ряд 11-Стелаж 41-Позиція 7,В наявності
298,36,Склад готової продукції,2023-04-20,15,12,36,18.0,1105.87,16588.05,2023-03-28,Ряд 15-Стелаж 45-Позиція 8,Надлишок
299,94,Склад готової продукції,2023-07-14,13,49,147,73.5,1493.89,19420.57,2023-07-05,Ряд 7-Стелаж 27-Позиція 10,Низький запас
300,34,Склад матеріалів,2023-11-25,63,43,129,64.5,1552.35,97798.04999999999,2023-10-31,Ряд 5-Стелаж 37-Позиція 8,Критичний запас
301,23,Склад матеріалів,2024-05-26,41,27,81,40.5,1221.94,50099.54,2024-05-01,Ряд 17-Стелаж 24-Позиція 3,Надлишок
302,36,Склад матеріалів,2023-11-15,24,17,51,25.5,1105.87,26540.879999999997,2023-10-17,Ряд 13-Стелаж 7-Позиція 6,Надлишок
303,62,Склад матеріалів,2023-06-08,121,46,138,69.0,110.06,13317.26,2023-05-10,Ряд 11-Стелаж 35-Позиція 6,Надлишок
304,28,Склад матеріалів,2024-07-22,29,23,69,34.5,1687.46,48936.340000000004,2024-07-08,Ряд 3-Стелаж 15-Позиція 5,Надлишок
305,44,Склад сировини,2024-11-21,29,20,60,30.0,2574.14,74650.06,2024-11-04,Ряд 18-Стелаж 3-Позиція 3,Надлишок
306,62,Склад матеріалів,2024-02-07,27,35,105,52.5,110.06,2971.62,2024-01-22,Ряд 12-Стелаж 37-Позиція 4,Критичний запас
307,65,Головний склад,2023-07-21,25,30,90,45.0,2305.35,57633.75,2023-06-28,Ряд 7-Стелаж 19-Позиція 4,Критичний запас
308,24,Склад готової продукції,2023-09-21,99,34,102,51.0,4503.49,445845.50999999995,2023-09-10,Ряд 16-Стелаж 33-Позиція 2,В наявності
309,42,Головний склад,2023-07-13,83,28,84,42.0,3167.49,262901.67,2023-06-17,Ряд 12-Стелаж 23-Позиція 7,Надлишок
310,85,Склад сировини,2024-05-19,2,11,33,16.5,2867.12,5734.24,2024-04-20,Ряд 18-Стелаж 12-Позиція 2,Надлишок
311,69,Склад сировини,2024-09-11,78,37,111,55.5,1864.23,145409.94,2024-08-22,Ряд 12-Стелаж 39-Позиція 5,Низький запас
312,23,Склад готової продукції,2023-08-24,15,11,33,16.5,1221.94,18329.100000000002,2023-08-09,Ряд 4-Стелаж 35-Позиція 2,Низький запас
313,56,Склад готової продукції,2024-11-04,90,35,105,52.5,4906.12,441550.8,2024-10-15,Ряд 12-Стелаж 14-Позиція 6,Надлишок
314,14,Склад готової продукції,2023-11-21,118,49,147,73.5,3708.84,437643.12,2023-11-06,Ряд 7-Стелаж 3-Позиція 3,В наявності
315,51,Головний склад,2024-02-01,32,44,132,66.0,473.95,15166.4,2024-01-19,Ряд 10-Стелаж 13-Позиція 4,В наявності
316,30,Головний склад,2023-01-08,20,17,51,25.5,3863.73,77274.6,2022-12-11,Ряд 11-Стелаж 28-Позиція 6,Надлишок
317,6,Склад сировини,2023-02-20,32,35,105,52.5,1430.04,45761.28,2023-02-16,Ряд 7-Стелаж 28-Позиція 7,В наявності
318,66,Склад готової продукції,2023-11-07,16,14,42,21.0,959.17,15346.72,2023-11-06,Ряд 8-Стелаж 22-Позиція 7,В наявності
319,46,Головний склад,2024-12-05,65,24,72,36.0,4479.12,291142.8,2024-11-27,Ряд 18-Стелаж 4-Позиція 9,Надлишок
320,33,Склад готової продукції,2024-09-03,2,42,126,63.0,190.63,381.26,2024-08-27,Ряд 11-Стелаж 9-Позиція 5,Критичний запас
321,70,Склад готової продукції,2024-06-10,18,10,30,15.0,4036.46,72656.28,2024-05-21,Ряд 4-Стелаж 20-Позиція 10,Низький запас
322,33,Склад сировини,2023-10-09,34,38,114,57.0,190.63,6481.42,2023-10-04,Ряд 11-Стелаж 9-Позиція 8,Критичний запас
323,76,Склад сировини,2024-04-03,54,23,69,34.5,3684.6,198968.4,2024-03-04,Ряд 10-Стелаж 12-Позиція 6,Низький запас
324,81,Склад сировини,2023-03-25,7,27,81,40.5,2918.14,20426.98,2023-03-04,Ряд 5-Стелаж 17-Позиція 5,Надлишок
325,13,Склад сировини,2023-11-23,18,22,66,33.0,3170.51,57069.18000000001,2023-11-04,Ряд 9-Стелаж 21-Позиція 4,В наявності
326,30,Склад сировини,2023-07-14,61,45,135,67.5,3863.73,235687.53,2023-06-17,Ряд 9-Стелаж 18-Позиція 7,Критичний запас
327,98,Склад сировини,2024-08-07,120,48,144,72.0,2498.2,299784.0,2024-07-20,Ряд 2-Стелаж 50-Позиція 1,Низький запас
328,5,Склад матеріалів,2023-09-20,18,15,45,22.5,210.06,3781.08,2023-09-08,Ряд 11-Стелаж 37-Позиція 5,В наявності
329,17,Склад матеріалів,2023-12-25,77,31,93,46.5,961.26,74017.02,2023-12-05,Ряд 19-Стелаж 33-Позиція 1,Критичний запас
330,79,Головний склад,2024-08-25,19,15,45,22.5,4072.9,77385.1,2024-08-23,Ряд 10-Стелаж 15-Позиція 6,В наявності
331,49,Склад готової продукції,2024-06-27,33,27,81,40.5,3084.02,101772.66,2024-06-21,Ряд 14-Стелаж 36-Позиція 7,В наявності
332,59,Склад сировини,2024-03-29,60,32,96,48.0,3862.29,231737.4,2024-03-16,Ряд 15-Стелаж 22-Позиція 3,Надлишок
333,52,Склад готової продукції,2024-01-05,26,46,138,69.0,442.56,11506.56,2023-12-20,Ряд 11-Стелаж 27-Позиція 1,В наявності
334,24,Склад готової продукції,2023-03-23,18,31,93,46.5,4503.49,81062.81999999999,2023-03-08,Ряд 19-Стелаж 31-Позиція 8,Критичний запас
335,77,Головний склад,2024-06-21,26,31,93,46.5,1204.84,31325.839999999997,2024-05-24,Ряд 17-Стелаж 39-Позиція 8,Надлишок
336,71,Склад сировини,2023-08-24,25,12,36,18.0,2516.25,62906.25,2023-08-06,Ряд 7-Стелаж 42-Позиція 3,Критичний запас
337,79,Головний склад,2023-10-05,48,19,57,28.5,4072.9,195499.2,2023-09-29,Ряд 5-Стелаж 14-Позиція 4,Критичний запас
338,91,Склад сировини,2023-03-25,18,37,111,55.5,4371.24,78682.31999999999,2023-03-09,Ряд 4-Стелаж 22-Позиція 4,Надлишок
339,84,Склад сировини,2023-10-25,23,50,150,75.0,1588.25,36529.75,2023-10-23,Ряд 8-Стелаж 42-Позиція 4,Критичний запас
340,6,Склад сировини,2023-09-18,29,33,99,49.5,1430.04,41471.159999999996,2023-08-23,Ряд 1-Стелаж 41-Позиція 7,Надлишок
341,49,Склад готової продукції,2023-05-09,7,18,54,27.0,3084.02,21588.14,2023-04-23,Ряд 3-Стелаж 5-Позиція 7,Критичний запас
342,46,Склад готової продукції,2024-03-24,26,36,108,54.0,4479.12,116457.12,2024-03-07,Ряд 16-Стелаж 33-Позиція 3,Низький запас
343,56,Склад сировини,2023-12-28,18,46,138,69.0,4906.12,88310.16,2023-12-06,Ряд 1-Стелаж 5-Позиція 8,В наявності
344,9,Склад матеріалів,2024-12-12,18,18,54,27.0,997.17,17949.059999999998,2024-11-29,Ряд 8-Стелаж 17-Позиція 6,Низький запас
345,44,Головний склад,2024-01-21,3,12,36,18.0,2574.14,7722.42,2024-01-05,Ряд 16-Стелаж 39-Позиція 7,Критичний запас
346,41,Склад сировини,2023-09-24,56,41,123,61.5,3419.58,191496.47999999998,2023-08-26,Ряд 12-Стелаж 49-Позиція 7,Критичний запас
347,97,Склад сировини,2023-07-24,57,30,90,45.0,3207.59,182832.63,2023-07-17,Ряд 1-Стелаж 49-Позиція 5,В наявності
348,23,Склад матеріалів,2024-08-12,3,41,123,61.5,1221.94,3665.82,2024-07-27,Ряд 20-Стелаж 39-Позиція 1,Критичний запас
349,46,Склад готової продукції,2024-10-25,11,12,36,18.0,4479.12,49270.32,2024-09-27,Ряд 20-Стелаж 33-Позиція 10,Критичний запас
350,34,Головний склад,2024-12-06,62,28,84,42.0,1552.35,96245.7,2024-11-06,Ряд 13-Стелаж 21-Позиція 7,Надлишок
351,28,Склад матеріалів,2023-06-01,25,35,105,52.5,1687.46,42186.5,2023-05-28,Ряд 12-Стелаж 24-Позиція 10,Низький запас
352,56,Головний склад,2024-03-11,59,24,72,36.0,4906.12,289461.08,2024-02-20,Ряд 14-Стелаж 32-Позиція 7,Низький запас
353,36,Склад сировини,2024-08-09,68,25,75,37.5,1105.87,75199.15999999999,2024-07-25,Ряд 17-Стелаж 5-Позиція 2,Критичний запас
354,40,Склад готової продукції,2024-11-09,46,30,90,45.0,846.69,38947.740000000005,2024-11-06,Ряд 14-Стелаж 42-Позиція 1,Низький запас
355,14,Склад сировини,2024-11-01,54,41,123,61.5,3708.84,200277.36000000002,2024-10-31,Ряд 2-Стелаж 28-Позиція 1,В наявності
356,8,Головний склад,2023-10-25,62,30,90,45.0,4806.79,298020.98,2023-10-24,Ряд 19-Стелаж 26-Позиція 1,В наявності
357,76,Склад матеріалів,2024-10-06,67,25,75,37.5,3684.6,246868.19999999998,2024-09-13,Ряд 2-Стелаж 32-Позиція 5,Критичний запас
358,15,Склад матеріалів,2024-09-14,13,21,63,31.5,3577.33,46505.29,2024-09-07,Ряд 7-Стелаж 42-Позиція 7,В наявності
359,29,Головний склад,2023-07-29,7,26,78,39.0,1906.69,13346.83,2023-07-19,Ряд 10-Стелаж 20-Позиція 1,Низький запас
360,66,Головний склад,2024-01-17,20,21,63,31.5,959.17,19183.399999999998,2023-12-29,Ряд 6-Стелаж 33-Позиція 10,Критичний запас
361,33,Склад матеріалів,2024-08-10,45,18,54,27.0,190.63,8578.35,2024-08-08,Ряд 3-Стелаж 25-Позиція 5,Надлишок
362,99,Склад готової продукції,2023-06-24,32,18,54,27.0,3611.05,115553.6,2023-05-29,Ряд 8-Стелаж 6-Позиція 9,Критичний запас
363,58,Склад готової продукції,2023-03-30,28,29,87,43.5,3628.33,101593.23999999999,2023-03-10,Ряд 5-Стелаж 27-Позиція 5,Низький запас
364,34,Склад сировини,2023-07-22,91,40,120,60.0,1552.35,141263.85,2023-07-04,Ряд 4-Стелаж 48-Позиція 4,Надлишок
365,92,Склад сировини,2024-10-25,33,23,69,34.5,1053.48,34764.840000000004,2024-10-08,Ряд 10-Стелаж 35-Позиція 1,Низький запас
366,99,Склад готової продукції,2024-09-29,117,42,126,63.0,3611.05,422492.85000000003,2024-09-06,Ряд 1-Стелаж 49-Позиція 6,Критичний запас
367,96,Склад сировини,2024-04-08,36,26,78,39.0,2924.35,105276.59999999999,2024-03-24,Ряд 14-Стелаж 26-Позиція 9,Низький запас
368,90,Склад сировини,2024-07-24,75,50,150,75.0,3624.88,271866.0,2024-07-01,Ряд 2-Стелаж 5-Позиція 10,В наявності
369,85,Склад готової продукції,2024-03-24,0,20,60,30.0,2867.12,0.0,2024-03-22,Ряд 9-Стелаж 42-Позиція 4,Критичний запас
370,32,Склад сировини,2023-04-09,90,33,99,49.5,2047.87,184308.3,2023-03-18,Ряд 13-Стелаж 33-Позиція 7,Низький запас
371,17,Склад готової продукції,2024-09-30,74,45,135,67.5,961.26,71133.24,2024-09-23,Ряд 2-Стелаж 19-Позиція 6,Критичний запас
372,34,Головний склад,2023-03-28,42,14,42,21.0,1552.35,65198.7,2023-03-22,Ряд 6-Стелаж 3-Позиція 5,Низький запас
373,59,Головний склад,2023-04-30,36,45,135,67.5,3862.29,139042.44,2023-04-28,Ряд 10-Стелаж 8-Позиція 6,Надлишок
374,94,Головний склад,2024-07-16,33,25,75,37.5,1493.89,49298.37,2024-07-12,Ряд 7-Стелаж 50-Позиція 9,Критичний запас
375,99,Склад матеріалів,2024-10-15,0,47,141,70.5,3611.05,0.0,2024-10-11,Ряд 16-Стелаж 40-Позиція 3,Надлишок
376,41,Склад сировини,2023-12-09,32,29,87,43.5,3419.58,109426.56,2023-11-13,Ряд 4-Стелаж 35-Позиція 9,В наявності
377,16,Головний склад,2023-12-06,123,42,126,63.0,4994.83,614364.09,2023-11-12,Ряд 11-Стелаж 25-Позиція 10,Критичний запас
378,9,Склад готової продукції,2024-10-06,71,27,81,40.5,997.17,70799.06999999999,2024-10-02,Ряд 10-Стелаж 31-Позиція 1,В наявності
379,69,Головний склад,2023-09-01,88,43,129,64.5,1864.23,164052.24,2023-08-20,Ряд 12-Стелаж 33-Позиція 4,Критичний запас
380,92,Склад сировини,2024-10-05,22,15,45,22.5,1053.48,23176.56,2024-10-02,Ряд 1-Стелаж 28-Позиція 3,В наявності
381,61,Склад готової продукції,2023-05-03,26,23,69,34.5,3659.2,95139.2,2023-04-14,Ряд 1-Стелаж 42-Позиція 8,Надлишок
382,40,Головний склад,2023-10-31,97,50,150,75.0,846.69,82128.93000000001,2023-10-03,Ряд 6-Стелаж 11-Позиція 2,В наявності
383,13,Головний склад,2023-12-30,21,28,84,42.0,3170.51,66580.71,2023-12-10,Ряд 5-Стелаж 7-Позиція 7,Критичний запас
384,73,Головний склад,2023-02-11,109,40,120,60.0,3048.44,332279.96,2023-01-12,Ряд 11-Стелаж 17-Позиція 5,Низький запас
385,100,Склад готової продукції,2024-04-11,59,47,141,70.5,4430.21,261382.39,2024-03-26,Ряд 17-Стелаж 4-Позиція 9,Низький запас
386,100,Головний склад,2024-02-08,25,31,93,46.5,4430.21,110755.25,2024-01-10,Ряд 12-Стелаж 6-Позиція 2,Надлишок
387,80,Головний склад,2023-10-16,77,40,120,60.0,2814.48,216714.96,2023-09-28,Ряд 4-Стелаж 17-Позиція 3,Надлишок
388,42,Склад матеріалів,2024-10-23,29,32,96,48.0,3167.49,91857.20999999999,2024-10-19,Ряд 6-Стелаж 37-Позиція 6,Низький запас
389,44,Склад матеріалів,2024-08-10,27,50,150,75.0,2574.14,69501.78,2024-08-02,Ряд 9-Стелаж 18-Позиція 7,Критичний запас
390,79,Склад матеріалів,2024-06-17,66,37,111,55.5,4072.9,268811.4,2024-06-10,Ряд 19-Стелаж 34-Позиція 4,Надлишок
391,18,Головний склад,2023-06-22,61,26,78,39.0,3845.22,234558.41999999998,2023-06-07,Ряд 8-Стелаж 24-Позиція 10,В наявності
392,96,Склад матеріалів,2023-07-25,56,45,135,67.5,2924.35,163763.6,2023-06-27,Ряд 17-Стелаж 24-Позиція 6,Критичний запас
393,73,Склад сировини,2023-12-31,52,26,78,39.0,3048.44,158518.88,2023-12-11,Ряд 13-Стелаж 46-Позиція 4,Низький запас
394,75,Склад матеріалів,2024-03-02,61,25,75,37.5,1633.98,99672.78,2024-02-05,Ряд 11-Стелаж 49-Позиція 3,Надлишок
395,73,Склад матеріалів,2024-08-12,21,27,81,40.5,3048.44,64017.24,2024-08-07,Ряд 9-Стелаж 48-Позиція 5,Надлишок
396,34,Склад сировини,2024-11-15,51,30,90,45.0,1552.35,79169.84999999999,2024-10-26,Ряд 15-Стелаж 44-Позиція 4,Надлишок
397,11,Склад матеріалів,2024-10-05,67,24,72,36.0,3360.38,225145.46000000002,2024-09-27,Ряд 2-Стелаж 38-Позиція 1,В наявності
398,95,Склад матеріалів,2024-10-04,9,14,42,21.0,1460.5,13144.5,2024-09-25,Ряд 4-Стелаж 27-Позиція 1,Критичний запас
399,15,Головний склад,2024-10-21,63,30,90,45.0,3577.33,225371.79,2024-09-27,Ряд 10-Стелаж 10-Позиція 4,Надлишок
400,25,Склад готової продукції,2023-12-27,55,30,90,45.0,1259.32,69262.59999999999,2023-11-29,Ряд 11-Стелаж 45-Позиція 9,Критичний запас
401,26,Склад готової продукції,2024-08-21,29,15,45,22.5,4725.53,137040.37,2024-08-14,Ряд 9-Стелаж 29-Позиція 10,Низький запас
402,99,Склад готової продукції,2023-08-31,86,36,108,54.0,3611.05,310550.3,2023-08-03,Ряд 15-Стелаж 39-Позиція 2,Критичний запас
403,23,Склад сировини,2023-11-28,91,41,123,61.5,1221.94,111196.54000000001,2023-11-07,Ряд 4-Стелаж 43-Позиція 6,Низький запас
404,75,Склад готової продукції,2024-06-28,3,11,33,16.5,1633.98,4901.9400000000005,2024-06-17,Ряд 2-Стелаж 19-Позиція 1,Низький запас
405,99,Склад матеріалів,2024-03-05,31,31,93,46.5,3611.05,111942.55,2024-02-26,Ряд 4-Стелаж 12-Позиція 2,В наявності
406,44,Склад готової продукції,2024-06-15,20,40,120,60.0,2574.14,51482.799999999996,2024-05-29,Ряд 13-Стелаж 32-Позиція 6,Низький запас
407,61,Склад готової продукції,2024-08-17,14,10,30,15.0,3659.2,51228.799999999996,2024-08-13,Ряд 15-Стелаж 1-Позиція 3,Низький запас
408,14,Склад готової продукції,2023-06-21,134,50,150,75.0,3708.84,496984.56,2023-06-18,Ряд 6-Стелаж 18-Позиція 6,Надлишок
409,75,Головний склад,2023-04-12,60,36,108,54.0,1633.98,98038.8,2023-04-10,Ряд 3-Стелаж 6-Позиція 6,Надлишок
410,28,Склад матеріалів,2024-02-11,7,26,78,39.0,1687.46,11812.220000000001,2024-02-01,Ряд 4-Стелаж 3-Позиція 2,Низький запас
411,96,Головний склад,2024-10-24,17,28,84,42.0,2924.35,49713.95,2024-09-27,Ряд 16-Стелаж 33-Позиція 1,В наявності
412,54,Склад сировини,2023-03-22,116,43,129,64.5,1954.61,226734.75999999998,2023-03-01,Ряд 16-Стелаж 44-Позиція 7,Низький запас
413,25,Склад готової продукції,2024-04-24,97,50,150,75.0,1259.32,122154.04,2024-03-28,Ряд 7-Стелаж 32-Позиція 2,Низький запас
414,80,Склад матеріалів,2023-05-17,100,46,138,69.0,2814.48,281448.0,2023-05-02,Ряд 17-Стелаж 8-Позиція 8,Низький запас
415,56,Склад готової продукції,2023-01-22,10,10,30,15.0,4906.12,49061.2,2023-01-01,Ряд 4-Стелаж 1-Позиція 7,В наявності
416,6,Склад сировини,2024-10-02,44,40,120,60.0,1430.04,62921.759999999995,2024-09-18,Ряд 7-Стелаж 31-Позиція 7,Низький запас
417,31,Склад готової продукції,2024-04-02,25,42,126,63.0,1386.6,34665.0,2024-03-03,Ряд 2-Стелаж 49-Позиція 3,Критичний запас
418,79,Склад матеріалів,2024-12-07,48,28,84,42.0,4072.9,195499.2,2024-11-22,Ряд 12-Стелаж 14-Позиція 7,Низький запас
419,68,Головний склад,2024-07-05,61,24,72,36.0,2998.17,182888.37,2024-06-10,Ряд 20-Стелаж 3-Позиція 10,Критичний запас
420,16,Головний склад,2023-01-18,13,14,42,21.0,4994.83,64932.79,2023-01-09,Ряд 17-Стелаж 18-Позиція 6,В наявності
421,17,Склад готової продукції,2024-06-03,2,45,135,67.5,961.26,1922.52,2024-05-25,Ряд 3-Стелаж 38-Позиція 4,Надлишок
422,5,Головний склад,2024-02-18,90,33,99,49.5,210.06,18905.4,2024-02-13,Ряд 14-Стелаж 2-Позиція 3,Надлишок
423,16,Склад матеріалів,2024-11-02,71,37,111,55.5,4994.83,354632.93,2024-10-21,Ряд 4-Стелаж 39-Позиція 5,В наявності
424,5,Головний склад,2023-02-15,4,19,57,28.5,210.06,840.24,2023-02-06,Ряд 12-Стелаж 49-Позиція 2,Низький запас
425,84,Склад готової продукції,2023-07-24,1,15,45,22.5,1588.25,1588.25,2023-07-13,Ряд 1-Стелаж 42-Позиція 8,Критичний запас
426,44,Склад сировини,2024-09-11,48,49,147,73.5,2574.14,123558.72,2024-08-16,Ряд 15-Стелаж 40-Позиція 8,Критичний запас
427,33,Склад готової продукції,2023-07-28,107,36,108,54.0,190.63,20397.41,2023-07-15,Ряд 16-Стелаж 11-Позиція 10,Надлишок
428,92,Склад готової продукції,2024-10-12,3,12,36,18.0,1053.48,3160.44,2024-09-12,Ряд 3-Стелаж 24-Позиція 2,В наявності
429,15,Склад матеріалів,2023-04-01,38,19,57,28.5,3577.33,135938.54,2023-03-16,Ряд 11-Стелаж 46-Позиція 10,В наявності
430,30,Склад готової продукції,2023-04-19,104,48,144,72.0,3863.73,401827.92,2023-04-15,Ряд 1-Стелаж 49-Позиція 7,Критичний запас
431,6,Склад сировини,2023-03-16,47,50,150,75.0,1430.04,67211.88,2023-03-11,Ряд 12-Стелаж 46-Позиція 10,Низький запас
432,73,Головний склад,2023-01-27,70,37,111,55.5,3048.44,213390.80000000002,2023-01-18,Ряд 14-Стелаж 26-Позиція 4,В наявності
433,28,Склад сировини,2023-11-27,67,41,123,61.5,1687.46,113059.82,2023-11-01,Ряд 6-Стелаж 24-Позиція 9,Надлишок
434,56,Склад готової продукції,2023-04-16,32,39,117,58.5,4906.12,156995.84,2023-03-20,Ряд 5-Стелаж 35-Позиція 7,В наявності
435,100,Склад готової продукції,2023-04-30,0,35,105,52.5,4430.21,0.0,2023-04-09,Ряд 2-Стелаж 46-Позиція 6,Низький запас
436,33,Склад матеріалів,2023-05-10,122,46,138,69.0,190.63,23256.86,2023-04-23,Ряд 2-Стелаж 44-Позиція 4,Надлишок
437,17,Головний склад,2023-07-28,29,40,120,60.0,961.26,27876.54,2023-07-12,Ряд 3-Стелаж 48-Позиція 6,Критичний запас
438,41,Головний склад,2024-04-19,98,38,114,57.0,3419.58,335118.83999999997,2024-04-08,Ряд 6-Стелаж 45-Позиція 7,Надлишок
439,81,Склад сировини,2024-07-24,56,27,81,40.5,2918.14,163415.84,2024-07-15,Ряд 3-Стелаж 44-Позиція 3,Критичний запас
440,95,Склад матеріалів,2024-01-31,20,12,36,18.0,1460.5,29210.0,2024-01-20,Ряд 15-Стелаж 47-Позиція 7,Низький запас
441,92,Склад матеріалів,2023-06-24,14,27,81,40.5,1053.48,14748.720000000001,2023-05-25,Ряд 16-Стелаж 14-Позиція 8,Надлишок
442,92,Склад матеріалів,2024-05-05,1,50,150,75.0,1053.48,1053.48,2024-04-20,Ряд 17-Стелаж 5-Позиція 2,В наявності
443,58,Склад матеріалів,2023-04-28,34,17,51,25.5,3628.33,123363.22,2023-04-10,Ряд 15-Стелаж 29-Позиція 5,Надлишок
444,91,Склад матеріалів,2023-08-23,10,20,60,30.0,4371.24,43712.399999999994,2023-07-31,Ряд 4-Стелаж 29-Позиція 1,Надлишок
445,99,Склад матеріалів,2023-01-20,7,50,150,75.0,3611.05,25277.350000000002,2023-01-14,Ряд 13-Стелаж 6-Позиція 10,Надлишок
446,5,Склад матеріалів,2024-11-12,27,10,30,15.0,210.06,5671.62,2024-11-01,Ряд 4-Стелаж 38-Позиція 1,Критичний запас
447,54,Склад готової продукції,2023-01-01,50,17,51,25.5,1954.61,97730.5,2022-12-11,Ряд 12-Стелаж 34-Позиція 1,В наявності
448,90,Головний склад,2023-05-31,27,25,75,37.5,3624.88,97871.76000000001,2023-05-27,Ряд 16-Стелаж 38-Позиція 6,В наявності
449,25,Склад сировини,2024-04-10,29,23,69,34.5,1259.32,36520.28,2024-04-02,Ряд 4-Стелаж 9-Позиція 5,В наявності
450,24,Склад сировини,2023-10-05,109,50,150,75.0,4503.49,490880.41,2023-09-26,Ряд 11-Стелаж 6-Позиція 3,В наявності
451,52,Склад матеріалів,2024-10-19,38,15,45,22.5,442.56,16817.28,2024-09-24,Ряд 10-Стелаж 50-Позиція 7,Низький запас
452,79,Головний склад,2023-12-14,20,14,42,21.0,4072.9,81458.0,2023-12-09,Ряд 16-Стелаж 29-Позиція 9,Надлишок
453,79,Склад готової продукції,2024-06-30,18,32,96,48.0,4072.9,73312.2,2024-06-26,Ряд 4-Стелаж 20-Позиція 1,Критичний запас
454,58,Склад сировини,2024-05-24,24,11,33,16.5,3628.33,87079.92,2024-05-04,Ряд 6-Стелаж 15-Позиція 3,Надлишок
455,24,Склад матеріалів,2024-09-28,57,41,123,61.5,4503.49,256698.93,2024-09-24,Ряд 13-Стелаж 34-Позиція 7,В наявності
456,36,Склад сировини,2023-10-10,23,37,111,55.5,1105.87,25435.01,2023-09-28,Ряд 17-Стелаж 23-Позиція 10,Критичний запас
457,76,Головний склад,2024-04-27,56,24,72,36.0,3684.6,206337.6,2024-04-08,Ряд 14-Стелаж 17-Позиція 4,Надлишок
458,68,Склад сировини,2024-09-26,33,17,51,25.5,2998.17,98939.61,2024-09-19,Ряд 13-Стелаж 19-Позиція 6,Критичний запас
459,24,Склад сировини,2024-06-06,7,10,30,15.0,4503.49,31524.43,2024-05-30,Ряд 5-Стелаж 39-Позиція 9,Надлишок
460,70,Склад матеріалів,2023-12-04,15,29,87,43.5,4036.46,60546.9,2023-11-13,Ряд 2-Стелаж 16-Позиція 3,В наявності
461,16,Склад готової продукції,2024-01-24,26,15,45,22.5,4994.83,129865.58,2024-01-19,Ряд 5-Стелаж 50-Позиція 2,В наявності
462,80,Склад готової продукції,2023-01-29,65,22,66,33.0,2814.48,182941.2,2023-01-28,Ряд 13-Стелаж 26-Позиція 10,Надлишок
463,82,Головний склад,2023-10-07,99,49,147,73.5,2390.64,236673.36,2023-09-26,Ряд 20-Стелаж 26-Позиція 8,Надлишок
464,52,Головний склад,2023-10-26,116,45,135,67.5,442.56,51336.96,2023-10-08,Ряд 14-Стелаж 15-Позиція 8,Критичний запас
465,79,Склад матеріалів,2024-05-23,123,48,144,72.0,4072.9,500966.7,2024-05-08,Ряд 6-Стелаж 34-Позиція 2,Низький запас
466,29,Головний склад,2024-07-14,76,41,123,61.5,1906.69,144908.44,2024-06-28,Ряд 19-Стелаж 25-Позиція 1,Низький запас
467,31,Склад сировини,2024-01-23,30,10,30,15.0,1386.6,41598.0,2023-12-31,Ряд 8-Стелаж 3-Позиція 5,Надлишок
468,71,Склад готової продукції,2023-01-28,1,44,132,66.0,2516.25,2516.25,2023-01-08,Ряд 9-Стелаж 31-Позиція 1,Надлишок
469,72,Головний склад,2024-06-03,19,27,81,40.5,3502.21,66541.99,2024-05-22,Ряд 12-Стелаж 2-Позиція 10,Низький запас
470,23,Головний склад,2023-05-27,51,50,150,75.0,1221.94,62318.94,2023-05-15,Ряд 6-Стелаж 46-Позиція 1,В наявності
471,66,Склад матеріалів,2023-09-08,35,26,78,39.0,959.17,33570.95,2023-08-18,Ряд 9-Стелаж 8-Позиція 3,В наявності
472,40,Склад матеріалів,2023-08-11,26,10,30,15.0,846.69,22013.940000000002,2023-07-19,Ряд 15-Стелаж 16-Позиція 10,В наявності
